track_name,album_name,popularity,track_duration_ms,explicit,artist_id,artist_name,year
Cruel Summer,Lover,91,178426,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2023
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,85,228965,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2023
cardigan,folklore,86,239560,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2023
august,folklore,86,261922,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2023
Lover,Lover,87,221306,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2023
Blank Space,1989,74,231826,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2023
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,83,218004,TRUE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2023
I Don’t Wanna Live Forever (Fifty Shades Darker),reputation Stadium Tour Surprise Song Playlist,84,247160,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2023
Don’t Blame Me,reputation,85,236413,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2023
Anti-Hero,Midnights,84,200690,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2023
DtMF,DeBÍ TiRAR MáS FOToS,97,237117,TRUE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2023
BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,96,367725,TRUE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2023
EoO,DeBÍ TiRAR MáS FOToS,94,204768,TRUE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2023
NUEVAYoL,DeBÍ TiRAR MáS FOToS,94,183685,FALSE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2023
VOY A LLeVARTE PA PR,DeBÍ TiRAR MáS FOToS,93,156364,TRUE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2023
VeLDÁ,DeBÍ TiRAR MáS FOToS,93,235336,TRUE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2023
Qué Pasaría...,Cosa Nuestra,91,191018,TRUE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2023
KLOuFRENS,DeBÍ TiRAR MáS FOToS,90,199114,TRUE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2023
LA CANCIÓN,OASIS,90,242573,FALSE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2023
