track_name,album_name,popularity,track_duration_ms,explicit,artist_id,artist_name,year
DtMF,DeBÍ TiRAR MáS FOToS,97,237117,TRUE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2021
BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,96,367725,TRUE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2021
EoO,DeBÍ TiRAR MáS FOToS,94,204768,TRUE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2021
NUEVAYoL,DeBÍ TiRAR MáS FOToS,94,183685,FALSE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2021
VOY A LLeVARTE PA PR,DeBÍ TiRAR MáS FOToS,93,156364,TRUE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2021
VeLDÁ,DeBÍ TiRAR MáS FOToS,93,235336,TRUE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2021
Qué Pasaría...,Cosa Nuestra,91,191018,TRUE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2021
KLOuFRENS,DeBÍ TiRAR MáS FOToS,90,199114,TRUE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2021
LA CANCIÓN,OASIS,90,242573,FALSE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2021
WELTiTA,DeBÍ TiRAR MáS FOToS,89,187507,FALSE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2021
Cruel Summer,Lover,91,178426,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2021
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,85,228965,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2021
cardigan,folklore,86,239560,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2021
august,folklore,86,261922,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2021
Lover,Lover,87,221306,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2021
Blank Space,1989,74,231826,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2021
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,83,218004,TRUE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2021
I Don’t Wanna Live Forever (Fifty Shades Darker),reputation Stadium Tour Surprise Song Playlist,84,247160,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2021
Don’t Blame Me,reputation,85,236413,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2021
Anti-Hero,Midnights,84,200690,FALSE,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2021
FAKE LOVE,Love Yourself 轉 'Tear',80,242333,FALSE,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2021
My Universe,Music Of The Spheres,79,226198,FALSE,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2021
Dynamite,BE,81,199053,FALSE,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2021
Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,78,229773,FALSE,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2021
Left and Right (Feat. Jung Kook of BTS),CHARLIE,76,154486,FALSE,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2021
Butter,Proof,76,164952,FALSE,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2021
Life Goes On,BE,77,207481,FALSE,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2021
Run BTS,Proof,77,204939,FALSE,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2021
DNA,Love Yourself 承 'Her',74,223122,FALSE,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2021
Spring Day,You Never Walk Alone,76,274097,FALSE,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2021
NOKIA,$ome $exy $ongs 4 U,94,241023,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2021
One Dance,Views,89,173986,FALSE,3TVXtAsR1Inumwj472S9r4,Drake,2021
DIE TRYING,$ome $exy $ongs 4 U,87,195431,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2021
Passionfruit,More Life,87,298940,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2021
She Will,Tha Carter IV (Complete Edition),81,305840,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2021
God's Plan,Scorpion,85,198973,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2021
WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,85,189893,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2021
Headlines,Take Care (Deluxe),84,235986,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2021
9,Views,83,255786,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2021
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",83,218364,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2021
Beauty And A Beat,Believe,85,227986,FALSE,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2021
Sorry,Purpose (Deluxe),87,200786,FALSE,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2021
Love Yourself,Purpose (Deluxe),87,233720,FALSE,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2021
STAY (with Justin Bieber),F*CK LOVE 3+: OVER YOU,82,141805,TRUE,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2021
Confident,Journals,86,248133,FALSE,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2021
Ghost,Justice,85,153190,FALSE,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2021
Baby,My World 2.0,86,214240,FALSE,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2021
What Do You Mean?,Purpose (Deluxe),84,205680,FALSE,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2021
bad guy,Playlist for Gamers,63,194839,FALSE,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2021
I Don't Care,+-=÷× (Tour Collection),76,219946,FALSE,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2021
