"","album_id","album_name","album_release_date","album_artists","total_tracks","album_url","track_id","track_name","track_number","track_artists","track_duration_ms","track_explicit"
"25","6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","2018-04-27","Post Malone",18,"https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR","5ffntNJnJOeFv7b7DCd0Bw","Takin' Shots",5,"Post Malone",216746,TRUE
"26","6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","2018-04-27","Post Malone",18,"https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR","0e7ipj03S05BNilyu5bRzt","rockstar (feat. 21 Savage)",6,"Post Malone, 21 Savage",218146,TRUE
"27","6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","2018-04-27","Post Malone",18,"https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR","09IOPhEh1OMe0HD9b36FJk","Over Now",7,"Post Malone",246986,TRUE
"28","6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","2018-04-27","Post Malone",18,"https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR","3swc6WTsr7rl9DqQKQA55C","Psycho (feat. Ty Dolla $ign)",8,"Post Malone, Ty Dolla $ign",221440,TRUE
"29","6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","2018-04-27","Post Malone",18,"https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR","7dt6x5M1jzdTEt8oCbisTK","Better Now",9,"Post Malone",231266,TRUE
"30","6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","2018-04-27","Post Malone",18,"https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR","6IaieqiCVvsNvEt6Y7yOFa","Ball For Me (feat. Nicki Minaj)",10,"Post Malone, Nicki Minaj",206266,TRUE
"31","6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","2018-04-27","Post Malone",18,"https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR","4qWCFTuNnmGNdY4egtb4ZY","Otherside",11,"Post Malone",228226,TRUE
"32","6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","2018-04-27","Post Malone",18,"https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR","4H7WNRErSbONkM06blBoGc","Stay",12,"Post Malone",204426,TRUE
"33","6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","2018-04-27","Post Malone",18,"https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR","1ZemPoaj7LBj1RAQrb89EC","Blame It On Me",13,"Post Malone",261799,FALSE
"34","6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","2018-04-27","Post Malone",18,"https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR","688QpQAwqsLdBR6lr13wK1","Same Bitches (feat. G-Eazy & YG)",14,"Post Malone, G-Eazy, YG",212466,TRUE
"35","6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","2018-04-27","Post Malone",18,"https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR","0R6Jlsq25eZB3Wftpxi3oF","Jonestown (Interlude)",15,"Post Malone",112013,FALSE
"36","6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","2018-04-27","Post Malone",18,"https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR","1D2L6MefbXon28PzIk9I3r","92 Explorer",16,"Post Malone",211426,TRUE
"37","6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","2018-04-27","Post Malone",18,"https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR","32lItqlMi4LBhb4k0BaSaC","Candy Paint",17,"Post Malone",227533,TRUE
"38","6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","2018-04-27","Post Malone",18,"https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR","0MrRAUcB8AZiB9ue2VOBYe","Sugar Wraith",18,"Post Malone",228146,TRUE
"39","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","2aOPvzjpMwikBgngKcxsA9","Introduction (instructions)",1,"XXXTENTACION",117482,FALSE
"40","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","2oe6dDthgthqUkfL3czpEd","ALONE, PART 3",2,"XXXTENTACION",109986,FALSE
"41","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","0JP9xo3adEtGSdUEISiszL","Moonlight",3,"XXXTENTACION",135090,TRUE
"42","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","3ee8Jmje8o58CHK66QrVC2","SAD!",4,"XXXTENTACION",166605,TRUE
"43","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","4UKCKdYiLN6IMA5ZESUTL7","the remedy for a broken heart (why am I so in love)",5,"XXXTENTACION",160184,TRUE
"44","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","6r7ULK6c5CLVvImjTIztl1","Floor 555",6,"XXXTENTACION",93447,TRUE
"45","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","01TnVDiet1DFTsyWKUKovl","NUMB",7,"XXXTENTACION",186267,FALSE
