track_name,album_name,popularity,track_duration_ms,explicit,artist_id,artist_name,year
I Had Some Help (Feat. Morgan Wallen),F-1 Trillion,88,178205,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,2019
I Ain't Comin' Back (feat. Post Malone),I’m The Problem,81,175271,FALSE,246dkjvS1zLTtiykXe5h60,Post Malone,2019
Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,84,157560,FALSE,246dkjvS1zLTtiykXe5h60,Post Malone,2019
Circles,Hollywood's Bleeding,88,215280,FALSE,246dkjvS1zLTtiykXe5h60,Post Malone,2019
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,85,228965,FALSE,246dkjvS1zLTtiykXe5h60,Post Malone,2019
rockstar (feat. 21 Savage),beerbongs & bentleys,84,218146,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,2019
Guy For That (Feat. Luke Combs),F-1 Trillion,81,164011,FALSE,246dkjvS1zLTtiykXe5h60,Post Malone,2019
Congratulations,Stoney (Deluxe),83,220293,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,2019
Better Now,beerbongs & bentleys,82,231266,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,2019
Dial Drunk (with Post Malone),Dial Drunk (with Post Malone),81,213817,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,2019
Azizam,Azizam,92,162029,FALSE,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2019
Shape of You,÷ (Deluxe),91,233712,FALSE,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2019
Perfect,÷ (Deluxe),91,263400,FALSE,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2019
Photograph,x (Wembley Edition),73,258986,FALSE,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2019
Thinking out Loud,x (Wembley Edition),72,281560,FALSE,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2019
Shivers,=,85,207853,FALSE,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2019
Bad Habits,=,85,230746,FALSE,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2019
Old Phone,Old Phone,84,221831,FALSE,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2019
Galway Girl,÷ (Deluxe),83,170826,FALSE,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2019
I Don't Care,+-=÷× (Tour Collection),76,219946,FALSE,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2019
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,100,210373,FALSE,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,2019
WILDFLOWER,HIT ME HARD AND SOFT,96,261466,FALSE,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,2019
CHIHIRO,HIT ME HARD AND SOFT,91,303440,FALSE,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,2019
Guess featuring billie eilish,Brat and it’s completely different but also still brat,87,143330,FALSE,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,2019
lovely (with Khalid),lovely (with Khalid),90,200185,FALSE,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,2019
ocean eyes,Ocean Eyes,76,200560,FALSE,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,2019
