album_id,album_name,release_date,total_tracks,popularity,album_type,track_id,track_name,track_number,track_artists,track_duration_ms,track_explicit,charted_year,track_popularity,features
6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,2018-04-27,18,83,album,1ZemPoaj7LBj1RAQrb89EC,Blame It On Me,13,Post Malone,261799,FALSE,2018,62,0
6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,2018-04-27,18,83,album,688QpQAwqsLdBR6lr13wK1,Same Bitches (feat. G-Eazy & YG),14,"Post Malone, G-Eazy, YG",212466,TRUE,2018,64,2
6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,2018-04-27,18,83,album,0R6Jlsq25eZB3Wftpxi3oF,Jonestown (Interlude),15,Post Malone,112013,FALSE,2018,54,0
6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,2018-04-27,18,83,album,1D2L6MefbXon28PzIk9I3r,92 Explorer,16,Post Malone,211426,TRUE,2018,69,0
6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,2018-04-27,18,83,album,32lItqlMi4LBhb4k0BaSaC,Candy Paint,17,Post Malone,227533,TRUE,2018,77,0
6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,2018-04-27,18,83,album,0MrRAUcB8AZiB9ue2VOBYe,Sugar Wraith,18,Post Malone,228146,TRUE,2018,63,0
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,2aOPvzjpMwikBgngKcxsA9,Introduction (instructions),1,XXXTENTACION,117482,FALSE,2018,52,0
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,2oe6dDthgthqUkfL3czpEd,"ALONE, PART 3",2,XXXTENTACION,109986,FALSE,2018,67,0
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,0JP9xo3adEtGSdUEISiszL,Moonlight,3,XXXTENTACION,135090,TRUE,2018,85,0
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,3ee8Jmje8o58CHK66QrVC2,SAD!,4,XXXTENTACION,166605,TRUE,2018,82,0
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,4UKCKdYiLN6IMA5ZESUTL7,the remedy for a broken heart (why am I so in love),5,XXXTENTACION,160184,TRUE,2018,76,0
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,6r7ULK6c5CLVvImjTIztl1,Floor 555,6,XXXTENTACION,93447,TRUE,2018,67,0
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,01TnVDiet1DFTsyWKUKovl,NUMB,7,XXXTENTACION,186267,FALSE,2018,77,0
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,7J2gyNghNTzl4EsLhXp01Q,infinity (888) - feat. Joey Bada$$,8,"XXXTENTACION, Joey Bada$$",176590,TRUE,2018,72,1
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,7CkbRn6S0itJqcqn88AtSV,going down!,9,XXXTENTACION,115194,TRUE,2018,64,0
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,4zI04ezdmrN0lT2pHykYrd,Pain = BESTFRIEND - feat. Travis Barker,10,"XXXTENTACION, Travis Barker",101516,FALSE,2018,58,1
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,65u1dHQyQyE4y4aN2eDmMF,$$$ - with Matt Ox,11,"XXXTENTACION, Matt OX",130403,TRUE,2018,64,1
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,1Znlc3UZAbSodFaMBjdpsX,love yourself (interlude),12,XXXTENTACION,48422,TRUE,2018,58,0
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,6rAGFgcGtlIdYxlhDizXNo,SMASH! - feat. PnB Rock,13,"XXXTENTACION, PnB Rock",109556,TRUE,2018,57,1
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,14boA065HMHWvqyPPEeN4y,"I don’t even speak spanish lol - feat. Rio Santana, Judah, Andrez Babii",14,"XXXTENTACION, Rio Santana, Judah, Andrez Babii",192229,FALSE,2018,66,3
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,7AFASza1mXqntmGtbxXprO,changes,15,XXXTENTACION,121886,FALSE,2018,77,0
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,2ZRo7axmMPeSVUvDbGkJah,Hope,16,XXXTENTACION,110886,TRUE,2018,85,0
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,5b6zjsBrZCqe6RFycLz2tc,schizophrenia,17,XXXTENTACION,80190,FALSE,2018,58,0
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,85,album,16x9bQHw8TBNaGDyULvwad,before I close my eyes,18,XXXTENTACION,99658,FALSE,2018,69,0
2vlhlrgMaXqcnhRqIEV9AP,Dua Lipa,2017-06-02,12,41,album,4AUmyNUCGemtEcOMTNlkNx,Genesis,1,Dua Lipa,205720,FALSE,2018,26,0
2vlhlrgMaXqcnhRqIEV9AP,Dua Lipa,2017-06-02,12,41,album,4sYCWzivvHyGGAbz8JTbbQ,Lost In Your Light (feat. Miguel),2,"Dua Lipa, Miguel",203769,FALSE,2018,28,1
2vlhlrgMaXqcnhRqIEV9AP,Dua Lipa,2017-06-02,12,41,album,7G8bmgKbwPQdwsGXC9QWcL,Hotter Than Hell,3,Dua Lipa,187957,FALSE,2018,28,0
2vlhlrgMaXqcnhRqIEV9AP,Dua Lipa,2017-06-02,12,41,album,6JpntAGPPC5mhzOKBpXeL9,Be the One,4,Dua Lipa,202914,FALSE,2018,32,0
2vlhlrgMaXqcnhRqIEV9AP,Dua Lipa,2017-06-02,12,41,album,1ny60YCHhEsxsJXWLhK7b0,IDGAF,5,Dua Lipa,217946,TRUE,2018,42,0
2vlhlrgMaXqcnhRqIEV9AP,Dua Lipa,2017-06-02,12,41,album,797HyfWx7ZHVMOOawVSNuP,Blow Your Mind (Mwah),6,Dua Lipa,178583,TRUE,2018,31,0
2vlhlrgMaXqcnhRqIEV9AP,Dua Lipa,2017-06-02,12,41,album,004MiktqrlEPng9SDw4N9d,Garden,7,Dua Lipa,227946,FALSE,2018,23,0
2vlhlrgMaXqcnhRqIEV9AP,Dua Lipa,2017-06-02,12,41,album,08hu72Vi94UmIpLkmk5Cvs,No Goodbyes,8,Dua Lipa,216080,FALSE,2018,24,0
2vlhlrgMaXqcnhRqIEV9AP,Dua Lipa,2017-06-02,12,41,album,3GlcH544cl8c24886zoKfM,Thinking 'Bout You,9,Dua Lipa,171946,FALSE,2018,25,0
2vlhlrgMaXqcnhRqIEV9AP,Dua Lipa,2017-06-02,12,41,album,6tF92PMv01Ug9Dh8Rmy6nH,New Rules,10,Dua Lipa,209320,FALSE,2018,46,0
2vlhlrgMaXqcnhRqIEV9AP,Dua Lipa,2017-06-02,12,41,album,4PWgkvdYqkv8mUtSIQ6iXW,Begging,11,Dua Lipa,194106,FALSE,2018,24,0
2vlhlrgMaXqcnhRqIEV9AP,Dua Lipa,2017-06-02,12,41,album,77lCOoGlNEPMOXEKlpOPpN,Homesick,12,Dua Lipa,230480,FALSE,2018,24,0
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,7oolFzHipTMg2nL7shhdz2,Eraser,1,Ed Sheeran,227426,FALSE,2018,60,0
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,2,Ed Sheeran,261153,FALSE,2018,82,0
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,51ChrwmUPDJvedPQnIU8Ls,Dive,3,Ed Sheeran,238440,FALSE,2018,81,0
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,7qiZfU4dY1lWllzX7mPBI3,Shape of You,4,Ed Sheeran,233712,FALSE,2018,91,0
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,0tgVpDi06FyKpA1z0VMD4v,Perfect,5,Ed Sheeran,263400,FALSE,2018,91,0
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,0afhq8XCExXpqazXczTSve,Galway Girl,6,Ed Sheeran,170826,FALSE,2018,83,0
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,2RttW7RAu5nOAfq6YFvApB,Happier,7,Ed Sheeran,207520,FALSE,2018,79,0
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,5HDPtsnyb3maFmPL8LLUTG,New Man,8,Ed Sheeran,189280,FALSE,2018,64,0
