track_name,artist_name,word
NOKIA,Drake,homegirls
NOKIA,Drake,pic
NOKIA,Drake,gram
NOKIA,Drake,world
NOKIA,Drake,world
NOKIA,Drake,yeah
NOKIA,Drake,bestie
NOKIA,Drake,ima
NOKIA,Drake,ice
NOKIA,Drake,yall
NOKIA,Drake,gretzky
NOKIA,Drake,ima
NOKIA,Drake,bless
NOKIA,Drake,hit
NOKIA,Drake,dance
NOKIA,Drake,floor
NOKIA,Drake,nasty
NOKIA,Drake,impress
NOKIA,Drake,ayy
NOKIA,Drake,hoes
NOKIA,Drake,club
NOKIA,Drake,love
NOKIA,Drake,dont
NOKIA,Drake,call
NOKIA,Drake,ho
NOKIA,Drake,heard
NOKIA,Drake,love
NOKIA,Drake,youre
NOKIA,Drake,true
NOKIA,Drake,love
NOKIA,Drake,ayy
NOKIA,Drake,love
NOKIA,Drake,ayy
NOKIA,Drake,waist
NOKIA,Drake,shrunk
NOKIA,Drake,love
NOKIA,Drake,ayy
NOKIA,Drake,bass
NOKIA,Drake,trunk
NOKIA,Drake,love
NOKIA,Drake,damn
NOKIA,Drake,hoes
NOKIA,Drake,club
NOKIA,Drake,love
NOKIA,Drake,dad
NOKIA,Drake,nem
NOKIA,Drake,pimpin
NOKIA,Drake,real
NOKIA,Drake,memphis
NOKIA,Drake,tennessee
NOKIA,Drake,love
NOKIA,Drake,uh
NOKIA,Drake,aint
NOKIA,Drake,sayin
NOKIA,Drake,agree
NOKIA,Drake,love
NOKIA,Drake,im
NOKIA,Drake,tellin
NOKIA,Drake,love
NOKIA,Drake,drinks
NOKIA,Drake,jokes
NOKIA,Drake,sex
NOKIA,Drake,cash
NOKIA,Drake,guarantee
NOKIA,Drake,love
NOKIA,Drake,ayy
NOKIA,Drake,baby
NOKIA,Drake,girl
NOKIA,Drake,dance
NOKIA,Drake,twirl
NOKIA,Drake,shakin
NOKIA,Drake,ass
NOKIA,Drake,club
NOKIA,Drake,homegirls
NOKIA,Drake,pic
NOKIA,Drake,gram
NOKIA,Drake,world
NOKIA,Drake,world
NOKIA,Drake,yeah
NOKIA,Drake,bestie
NOKIA,Drake,ima
NOKIA,Drake,ice
NOKIA,Drake,yall
NOKIA,Drake,gretzky
NOKIA,Drake,ima
NOKIA,Drake,bless
NOKIA,Drake,hit
NOKIA,Drake,dance
NOKIA,Drake,floor
NOKIA,Drake,nasty
NOKIA,Drake,impress
NOKIA,Drake,baby
NOKIA,Drake,girl
NOKIA,Drake,dance
NOKIA,Drake,twirl
NOKIA,Drake,shakin
NOKIA,Drake,ass
NOKIA,Drake,club
NOKIA,Drake,homegirls
NOKIA,Drake,pic
NOKIA,Drake,gram
NOKIA,Drake,world
NOKIA,Drake,world
NOKIA,Drake,yeah
NOKIA,Drake,bestie
NOKIA,Drake,ima
NOKIA,Drake,ice
NOKIA,Drake,yall
NOKIA,Drake,gretzky
NOKIA,Drake,ima
NOKIA,Drake,bless
NOKIA,Drake,hit
NOKIA,Drake,dance
NOKIA,Drake,floor
NOKIA,Drake,nasty
NOKIA,Drake,impress
One Dance,Drake,dance
One Dance,Drake,rb
One Dance,Drake,song
One Dance,Drake,dancehall
One Dance,Drake,afrobeats
One Dance,Drake,inflections
One Dance,Drake,featuring
One Dance,Drake,slowed
One Dance,Drake,sample
One Dance,Drake,vocals
One Dance,Drake,chord
One Dance,Drake,stabs
One Dance,Drake,2008
One Dance,Drake,uk
One Dance,Drake,funky
One Dance,Drake,house
One Dance,Drake,anthem
One Dance,Drake,kylas
One Dance,Drake,mind
One Dance,Drake,produced
One Dance,Drake,crazy
One Dance,Drake,read
One Dance,Drake,baby
One Dance,Drake,style
One Dance,Drake,grips
One Dance,Drake,waist
One Dance,Drake,front
One Dance,Drake,dont
One Dance,Drake,play
One Dance,Drake,streets
One Dance,Drake,safe
One Dance,Drake,run
One Dance,Drake,im
One Dance,Drake,oti
One Dance,Drake,oti
One Dance,Drake,love
One Dance,Drake,ot
One Dance,Drake,pray
One Dance,Drake,piece
One Dance,Drake,pray
One Dance,Drake,pray
One Dance,Drake,dance
One Dance,Drake,hennessy
One Dance,Drake,hand
One Dance,Drake,time
One Dance,Drake,fore
One Dance,Drake,powers
One Dance,Drake,taking
One Dance,Drake,hold
One Dance,Drake,dance
One Dance,Drake,hennessy
One Dance,Drake,hand
One Dance,Drake,time
One Dance,Drake,fore
One Dance,Drake,powers
One Dance,Drake,taking
One Dance,Drake,hold
One Dance,Drake,baby
One Dance,Drake,style
One Dance,Drake,strength
One Dance,Drake,guidance
One Dance,Drake,im
One Dance,Drake,wishing
One Dance,Drake,friends
One Dance,Drake,makes
One Dance,Drake,bust
One Dance,Drake,silence
One Dance,Drake,gotta
One Dance,Drake,stick
One Dance,Drake,text
One Dance,Drake,reply
One Dance,Drake,dont
One Dance,Drake,wanna
One Dance,Drake,spend
One Dance,Drake,time
One Dance,Drake,fighting
One Dance,Drake,weve
One Dance,Drake,time
One Dance,Drake,dance
One Dance,Drake,hennessy
One Dance,Drake,hand
One Dance,Drake,time
One Dance,Drake,fore
One Dance,Drake,powers
One Dance,Drake,taking
One Dance,Drake,hold
One Dance,Drake,dance
One Dance,Drake,hennessy
One Dance,Drake,hand
One Dance,Drake,time
One Dance,Drake,fore
One Dance,Drake,powers
One Dance,Drake,taking
One Dance,Drake,hold
One Dance,Drake,pretty
One Dance,Drake,girl
One Dance,Drake,love
One Dance,Drake,time
One Dance,Drake,fine
One Dance,Drake,wine
One Dance,Drake,love
One Dance,Drake,time
One Dance,Drake,yeah
One Dance,Drake,time
One Dance,Drake,whine
One Dance,Drake,whine
One Dance,Drake,girl
One Dance,Drake,whine
One Dance,Drake,girl
One Dance,Drake,steady
One Dance,Drake,fine
One Dance,Drake,whine
One Dance,Drake,mm
One Dance,Drake,wanna
One Dance,Drake,youre
One Dance,Drake,ill
One Dance,Drake,slow
One Dance,Drake,lose
One Dance,Drake,control
One Dance,Drake,yeah
One Dance,Drake,time
One Dance,Drake,wine
One Dance,Drake,girl
One Dance,Drake,youre
One Dance,Drake,youre
One Dance,Drake,youre
One Dance,Drake,dance
One Dance,Drake,hennessy
One Dance,Drake,hand
One Dance,Drake,time
One Dance,Drake,fore
One Dance,Drake,powers
One Dance,Drake,taking
One Dance,Drake,hold
One Dance,Drake,dance
One Dance,Drake,hennessy
One Dance,Drake,hand
One Dance,Drake,time
One Dance,Drake,fore
One Dance,Drake,powers
One Dance,Drake,taking
One Dance,Drake,hold
One Dance,Drake,spell
One Dance,Drake,hennessy
One Dance,Drake,ns
One Dance,Drake,ses
One Dance,Drake,hen
One Dance,Drake,henn
One Dance,Drake,henn
One Dance,Drake,hennessy
One Dance,Drake,ses
One Dance,Drake,im
One Dance,Drake,gonna
One Dance,Drake,ns
Passionfruit,Drake,passionfruit
Passionfruit,Drake,details
Passionfruit,Drake,drakes
Passionfruit,Drake,struggle
Passionfruit,Drake,maintain
Passionfruit,Drake,trust
Passionfruit,Drake,longdistance
Passionfruit,Drake,relationship
Passionfruit,Drake,song
Passionfruit,Drake,drake
Passionfruit,Drake,explores
Passionfruit,Drake,unable
Passionfruit,Drake,maintain
Passionfruit,Drake,trust
Passionfruit,Drake,faithfulness
Passionfruit,Drake,woman
Passionfruit,Drake,eventually
